date,price
1996-01-02,17.64
1996-01-03,17.65
1996-01-04,17.845
1996-01-05,18.12
1996-01-06,18.165
1996-01-07,18.21
1996-01-08,18.255
1996-01-09,17.88
1996-01-10,17.72
1996-01-11,17.14
1996-01-12,16.74
1996-01-13,16.773
1996-01-14,16.807
1996-01-15,16.84
1996-01-16,16.405
1996-01-17,16.655
1996-01-18,16.775
1996-01-19,16.695
1996-01-20,16.645
1996-01-21,16.595
1996-01-22,16.545
1996-01-23,16.415
1996-01-24,16.63
1996-01-25,15.965
1996-01-26,15.99
1996-01-27,15.892
1996-01-28,15.793
1996-01-29,15.695
1996-01-30,15.855
1996-01-31,15.975
1996-02-01,15.845
1996-02-02,15.985
1996-02-03,15.965
1996-02-04,15.945
1996-02-05,15.925
1996-02-06,15.94
1996-02-07,15.905
1996-02-08,15.765
1996-02-09,15.82
1996-02-10,15.82
1996-02-11,15.82
1996-02-12,15.82
1996-02-13,16.605
1996-02-14,16.345
1996-02-15,16.335
1996-02-16,16.025
1996-02-17,16.057
1996-02-18,16.088
1996-02-19,16.12
1996-02-20,16.695
1996-02-21,17.08
1996-02-22,17.055
1996-02-23,16.37
1996-02-24,16.46
1996-02-25,16.55
1996-02-26,16.64
1996-02-27,16.725
1996-02-28,16.515
1996-02-29,16.59
1996-03-01,16.545
1996-03-02,16.495
1996-03-03,16.445
1996-03-04,16.395
1996-03-05,16.85
1996-03-06,17.21
1996-03-07,17.08
1996-03-08,16.835
1996-03-09,16.885
1996-03-10,16.935
1996-03-11,16.985
1996-03-12,17.255
1996-03-13,17.18
1996-03-14,17.275
1996-03-15,17.28
1996-03-16,17.308
1996-03-17,17.337
1996-03-18,17.365
1996-03-19,17.045
1996-03-20,17.13
1996-03-21,17.505
1996-03-22,17.95
1996-03-23,18.002
1996-03-24,18.053
1996-03-25,18.105
1996-03-26,17.96
1996-03-27,17.83
1996-03-28,17.71
1996-03-29,17.75
1996-03-30,17.895
1996-03-31,18.04
1996-04-01,18.185
1996-04-02,18.355
1996-04-03,17.935
1996-04-04,18.255
1996-04-05,18.196
1996-04-06,18.138
1996-04-07,18.079
1996-04-08,18.02
1996-04-09,18.1
1996-04-10,18.775
1996-04-11,19.175
1996-04-12,18.27
1996-04-13,18.403
1996-04-14,18.537
1996-04-15,18.67
1996-04-16,17.625
1996-04-17,17.645
1996-04-18,17.095
1996-04-19,17.465
1996-04-20,17.61
1996-04-21,17.755
1996-04-22,17.9
1996-04-23,18.47
1996-04-24,18.155
1996-04-25,18.025
1996-04-26,18.09
1996-04-27,18.075
1996-04-28,18.06
1996-04-29,18.045
1996-04-30,17.505
1996-05-01,17.14
1996-05-02,17.335
1996-05-03,17.705
1996-05-04,17.712
1996-05-05,17.718
1996-05-06,17.725
1996-05-07,17.57
1996-05-08,17.565
1996-05-09,16.875
1996-05-10,17.315
1996-05-11,17.312
1996-05-12,17.308
1996-05-13,17.305
1996-05-14,17.34
1996-05-15,17.195
1996-05-16,16.715
1996-05-17,16.56
1996-05-18,16.87
1996-05-19,17.18
1996-05-20,17.49
1996-05-21,17.35
1996-05-22,17.735
1996-05-23,17.765
1996-05-24,17.845
1996-05-25,17.816
1996-05-26,17.788
1996-05-27,17.759
1996-05-28,17.73
1996-05-29,17.52
1996-05-30,17.13
1996-05-31,17.205
1996-06-01,17.22
1996-06-02,17.235
1996-06-03,17.25
1996-06-04,17.65
1996-06-05,17.28
1996-06-06,17.515
1996-06-07,17.86
1996-06-08,17.875
1996-06-09,17.89
1996-06-10,17.905
1996-06-11,17.805
1996-06-12,17.76
1996-06-13,17.69
1996-06-14,17.98
1996-06-15,17.947
1996-06-16,17.913
1996-06-17,17.88
1996-06-18,17.55
1996-06-19,17.25
1996-06-20,17.34
1996-06-21,17.395
1996-06-22,17.393
1996-06-23,17.392
1996-06-24,17.39
1996-06-25,17.455
1996-06-26,17.89
1996-06-27,18.135
1996-06-28,17.845
1996-06-29,17.985
1996-06-30,18.125
1996-07-01,18.265
1996-07-02,17.965
1996-07-03,18.275
1996-07-04,18.455
1996-07-05,18.73
1996-07-06,18.558
1996-07-07,18.387
1996-07-08,18.215
1996-07-09,18.465
1996-07-10,18.455
1996-07-11,18.78
1996-07-12,18.665
1996-07-13,18.783
1996-07-14,18.902
1996-07-15,19.02
1996-07-16,18.69
1996-07-17,18.035
1996-07-18,18.19
1996-07-19,18.05
1996-07-20,18.043
1996-07-21,18.037
1996-07-22,18.03
1996-07-23,18.205
1996-07-24,17.895
1996-07-25,18.08
1996-07-26,17.525
1996-07-27,17.6
1996-07-28,17.675
1996-07-29,17.75
1996-07-30,17.795
1996-07-31,17.97
1996-08-01,18.495
1996-08-02,18.675
1996-08-03,18.698
1996-08-04,18.722
1996-08-05,18.745
1996-08-06,18.725
1996-08-07,18.805
1996-08-08,18.99
1996-08-09,19.055
1996-08-10,19.215
1996-08-11,19.375
1996-08-12,19.535
1996-08-13,19.43
1996-08-14,19.225
1996-08-15,19.195
1996-08-16,19.32
1996-08-17,19.333
1996-08-18,19.347
1996-08-19,19.36
1996-08-20,18.93
1996-08-21,18.86
1996-08-22,19.37
1996-08-23,19.17
1996-08-24,18.983
1996-08-25,18.797
1996-08-26,18.61
1996-08-27,18.785
1996-08-28,19.27
1996-08-29,19.645
1996-08-30,19.585
1996-08-31,19.903
1996-09-01,20.222
1996-09-02,20.54
1996-09-03,20.4
1996-09-04,20.285
1996-09-05,20.45
1996-09-06,20.8
1996-09-07,20.773
1996-09-08,20.747
1996-09-09,20.72
1996-09-10,21.16
1996-09-11,21.57
1996-09-12,22.04
1996-09-13,21.57
1996-09-14,20.978
1996-09-15,20.387
1996-09-16,19.795
1996-09-17,20.13
1996-09-18,20.48
1996-09-19,20.105
1996-09-20,20.225
1996-09-21,20.402
1996-09-22,20.578
1996-09-23,20.755
1996-09-24,21.345
1996-09-25,21.335
1996-09-26,20.97
1996-09-27,21.635
1996-09-28,21.482
1996-09-29,21.328
1996-09-30,21.175
1996-10-01,21.405
1996-10-02,21.205
1996-10-03,21.815
1996-10-04,21.935
1996-10-05,22.0
1996-10-06,22.065
1996-10-07,22.13
1996-10-08,22.44
1996-10-09,22.17
1996-10-10,21.855
1996-10-11,22.285
1996-10-12,22.457
1996-10-13,22.628
1996-10-14,22.8
1996-10-15,22.715
1996-10-16,21.715
1996-10-17,22.035
1996-10-18,22.44
1996-10-19,22.498
1996-10-20,22.557
1996-10-21,22.615
1996-10-22,22.61
1996-10-23,22.07
1996-10-24,21.975
1996-10-25,22.27
1996-10-26,22.237
1996-10-27,22.203
1996-10-28,22.17
1996-10-29,21.885
1996-10-30,21.825
1996-10-31,20.85
1996-11-01,20.78
1996-11-02,20.787
1996-11-03,20.793
1996-11-04,20.8
1996-11-05,20.675
1996-11-06,20.64
1996-11-07,20.77
1996-11-08,21.455
1996-11-09,21.375
1996-11-10,21.295
1996-11-11,21.215
1996-11-12,21.225
1996-11-13,21.865
1996-11-14,22.215
1996-11-15,21.795
1996-11-16,21.652
1996-11-17,21.508
1996-11-18,21.365
1996-11-19,21.75
1996-11-20,20.855
1996-11-21,21.61
1996-11-22,21.36
