날짜,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
2023-01-01,64322,61879,60133,59170,58813,59352,59971,60301,59890,57415,55443,52868,51469,51433,52695,55879,60282,64447,66465,66199,66018,65477,65404,65676
2023-01-02,63083,60897,59751,59360,60127,62341,66729,74246,83138,83946,81783,78499,74331,76748,78573,81324,84900,85269,83170,80813,78270,75816,75484,75299
2023-01-03,71842,69513,68141,67409,67797,69567,73423,79563,87110,87060,84343,80787,75805,78366,80206,82581,86163,86690,84888,82717,79738,77372,77160,76931
2023-01-04,73087,70684,69165,68327,68569,70168,73743,79699,86766,87191,84612,80845,76002,78927,80727,82873,85342,85151,83548,81754,79119,76907,76504,76197
2023-01-05,72474,70042,68646,67878,68126,69726,73520,79108,87276,89012,86884,83400,78530,81436,82741,83862,85562,85427,83751,81791,78870,76334,75929,75685
2023-01-06,72026,69296,67768,67143,67532,69160,72607,78304,85616,86606,83842,80259,75523,77774,79139,80820,82601,82074,80039,78095,75895,73771,73565,73389
2023-01-07,69562,66834,65101,64225,64289,64787,65947,67415,69238,69507,68835,66895,63517,63388,63646,65387,68026,69810,70729,69928,69249,68263,68962,69296
2023-01-08,66131,63588,61978,61114,61164,61847,62840,63346,62980,60153,58553,56314,54696,55081,56435,59403,63354,66530,68090,67783,67208,66406,66161,66248
2023-01-09,63361,60975,59600,59246,59891,61995,66002,72464,81688,84683,83809,80666,75349,77188,77881,78719,80843,81487,80577,78747,76135,73897,73726,73276
2023-01-10,69746,67421,66104,65664,66122,67905,71505,77267,83973,83332,80304,76224,71071,73004,74586,77066,80414,81088,80281,78585,76086,74021,73882,73429
2023-01-11,69895,67210,65711,65346,65999,67795,71297,76710,83078,82490,79424,75319,70266,72339,73519,75815,78958,79578,78959,77708,75570,73914,73648,73396
2023-01-12,69525,67134,65755,65134,65582,67276,70986,76283,82287,81409,78458,74358,69356,71855,73440,75505,77864,78050,77503,76057,73867,71705,71680,71111
2023-01-13,67315,64699,63055,62515,62915,64328,67315,71701,78563,81442,81907,80654,77145,79098,79042,78333,77877,76496,75070,73567,71501,69700,69656,69319
2023-01-14,65615,62937,61284,60481,60458,61229,62558,63769,65900,68095,69388,69080,67146,67683,67602,67387,67545,67448,67745,67017,66081,65073,65894,65745
2023-01-15,62478,59828,58387,57683,57975,58722,59730,60479,61876,63549,65387,65912,65547,65498,65304,65421,66173,67991,69166,68646,67736,66741,66636,66871
2023-01-16,64138,61902,60568,60075,60825,63036,67544,74396,83110,84415,82795,79502,74839,77054,78267,80098,83570,84582,83664,81661,78740,76125,75933,75597
2023-01-17,71833,69396,67967,67229,67614,69412,73097,78690,85227,86815,84836,81927,77900,79476,80652,82193,84668,85067,83719,81724,78765,76311,76020,75609
2023-01-18,71876,69246,67723,66955,67176,68638,72305,77989,84731,85627,83287,79694,75431,78472,80236,81196,82946,82990,82364,80683,78331,76082,76126,75752
2023-01-19,71884,69304,67773,66973,67503,68961,72439,77785,84465,84442,82283,79197,74507,76768,77437,79214,81712,81809,80843,79064,76653,74578,74335,74009
2023-01-20,70229,67450,65851,65047,65297,66628,69805,74801,81055,81244,79456,75466,70435,71331,71419,71661,73222,74723,75143,74389,73399,71860,72154,72079
2023-01-21,68910,66058,64053,62498,61726,61734,61908,62027,60190,55781,53618,51391,49646,49564,50457,53317,57834,61577,63296,63002,62642,62174,62375,62771
2023-01-22,60118,57852,56269,55365,55125,55622,56446,57036,56341,53688,52551,51484,51018,51002,51423,52379,53966,56282,58281,58266,58222,58296,59277,60143
2023-01-23,57976,55875,54427,53712,53781,54414,55183,55778,54870,51237,49403,47491,46499,47085,49907,53473,56602,59634,61785,61807,61756,61598,61940,62575
2023-01-24,60197,58231,57093,56668,57172,58324,59825,61471,62396,60715,60283,59186,58174,58669,59971,62967,66922,70661,72643,72073,71008,69827,69631,69926
2023-01-25,67261,64791,63499,62836,63189,64849,68994,75990,84114,86171,85739,83051,78898,80530,81616,83338,86734,87275,85414,83159,80172,77463,76914,76742
