연도,월,전기 사용량(kWh)
2013,1,341532
2013,2,315702
2013,3,258552
2013,4,222462
2013,5,184683
2013,6,182246
2013,7,207365
2013,8,227452
2013,9,203422
2013,10,166448
2013,11,179901
2013,12,241682
2014,1,277042
2014,2,280183
2014,3,206124
2014,4,195545
2014,5,180666
2014,6,202260
2014,7,259344
2014,8,171720
2014,9,314712
2014,10,265248
2014,11,285621
2014,12,393441
2015,1,351213
2015,2,278205
2015,3,267585
2015,4,227182
2015,5,228885
2015,6,260529
2015,7,307905
2015,8,326337
2015,9,217005
2015,10,215673
2015,11,224745
2015,12,296529
2016,1,322989
2016,2,276981
2016,3,249081
2016,4,191387
2016,5,205251
2016,6,264560
2016,7,317915
2016,8,375863
2016,9,220191
2016,10,211099
2016,11,244389
2016,12,294772
2017,1,331220
2017,2,291620
2017,3,276031
2017,4,217710
2017,5,219999
2017,6,266510
2017,7,379670
2017,8,363098
2017,9,248840
2017,10,204194
2017,11,262255
2017,12,330526
2018,1,395240
2018,2,330387
2018,3,255539
2018,4,200230
2018,5,204664
2018,6,232296
2018,7,382585
2018,8,393663
2018,9,232265
2018,10,212681
2018,11,255874
2018,12,329163
2019,1,356423
2019,2,295690
2019,3,262389
2019,4,236506
2019,5,208475
2019,6,223484
2019,7,331318
2019,8,367297
2019,9,242867
2019,10,203440
2019,11,236690
2019,12,325505
2020,1,318341
2020,2,289547
2020,3,257927
2020,4,214083
2020,5,184927
2020,6,261985
2020,7,284739
2020,8,367326
2020,9,238201
2020,10,194865
2020,11,237457
2020,12,342940
2021,1,380371
2021,2,285428
2021,3,254962
2021,4,207950
2021,5,196146
2021,6,246560
2021,7,359821
2021,8,338519
2021,9,221121
2021,10,203496
2021,11,233833
2021,12,325261
2022,1,361239
2022,2,330894
2022,3,248099
2022,4,202519
2022,5,207394
2022,6,269569
2022,7,357431
2022,8,342122
2022,9,226238
2022,10,202069
2022,11,213061
2022,12,348009
2023,1,330773
2023,2,271726
2023,3,220324
2023,4,200079
2023,5,216705
2023,6,234478
2023,7,304980
2023,8,348223
2023,9,235201
2023,10,190552
2023,11,216338
2023,12,281571
2024,1,314334
2024,2,257900
